    4.00    3.63    3.63    3.56    4.00    3.33         10
    4.38    4.13    3.75    3.78    4.11    3.89         10
    4.88    4.50    3.50    4.22    3.78    3.67         10
    5.00    4.13    3.88    3.78    3.89    3.78         10
    4.50    4.50    4.13    4.33    4.44    2.78         10
    4.38    4.38    3.25    3.11    3.67    4.33         10
    4.63    4.25    3.25    3.67    3.44    3.67         10
    5.00    3.88    3.25    4.11    5.00    4.11         10
    4.13    4.00    3.13    3.33    3.56    3.56         10
    3.88    3.25    3.63    3.11    3.67    3.78         10
    4.38    3.63    3.25    3.11    3.67    4.33         10
    3.88    3.88    4.00    3.89    5.00    2.56         10
    4.63    4.00    3.25    2.89    3.00    3.33         10
    4.13    4.38    3.38    3.78    4.22    3.56         10
    4.38    4.38    3.38    3.56    4.44    4.33         10
    4.63    4.38    3.25    3.56    4.67    4.11         10
    4.75    3.75    4.25    3.56    4.44    4.67         10
    4.38    3.75    3.25    3.89    4.00    4.44         10
    3.88    3.88    3.88    3.56    4.22    4.22         10
    4.00    3.50    3.63    3.56    3.56    4.22         10
    3.25    3.50    3.13    3.00    3.67    3.56         10
    3.50    4.00    3.63    3.78    3.78    4.44         10
    3.63    3.50    3.00    4.11    3.67    4.11         10
    4.25    3.86    3.25    3.56    3.22    4.33         10
    4.00    3.63    3.50    3.67    3.44    4.11         10
    4.13    3.75    3.75    4.11    4.56    3.78         10
    3.38    4.25    3.63    4.22    4.89    4.33         10
    3.63    3.75    2.63    2.56    2.11    4.00         10
    4.75    4.00    4.88    3.11    3.67    3.11         10
    3.75    4.13    3.63    3.89    3.89    3.89         10
    4.75    4.00    3.25    3.67    3.89    4.11         10
    4.75    4.25    3.75    3.44    3.56    3.44         10
    3.63    4.13    3.00    3.33    4.56    4.56         10
    4.75    4.25    3.25    3.89    3.89    4.22         10
    4.88    4.25    4.00    4.00    4.67    3.89         10
    4.29    3.63    3.13    3.33    3.33    4.00         10
    3.88    3.75    3.13    3.22    3.56    3.67         10
    4.13    3.75    4.00    2.33    2.56    3.44         10
    5.00    4.25    3.50    3.11    2.22    3.56         10
    4.00    4.00    2.88    2.89    3.56    4.00         10
    4.13    4.00    3.50    3.67    4.22    4.33         10
    4.13    4.38    3.75    3.44    3.67    4.11         10
    4.13    3.88    3.63    4.00    4.00    4.56         10
    3.50    3.88    3.13    1.78    3.78    2.00         10
    3.88    3.50    4.00    2.22    2.44    2.78         10
    4.38    4.38    3.75    3.56    4.22    3.33         11
    3.63    3.75    3.50    3.89    5.00    4.44         11
    4.88    4.63    4.50    3.67    4.56    3.67         11
    3.50    4.50    3.38    3.33    3.44    3.00         11
    4.63    4.13    4.00    4.00    4.33    4.00         11
    4.00    4.38    3.63    3.22    4.33    3.76         11
    3.63    3.63    3.50    3.44    4.44    3.33         11
    4.13    3.13    3.63    2.00    1.78    4.89         11
    3.50    3.63    2.13    1.89    2.11    3.89         11
    4.13    3.13    3.63    2.00    1.78    4.89         11
    3.75    3.88    4.13    3.22    3.78    4.33         11
    3.88    3.25    3.13    3.56    5.00    4.00         11
    3.88    3.88    3.50    3.22    3.33    3.22         11
    3.88    3.50    3.13    4.00    4.22    4.33         11
    3.63    3.88    4.00    2.78    2.33    3.78         11
    3.00    3.63    2.50    3.89    2.89    4.33         11
    4.13    4.00    3.88    3.78    4.78    4.11         11
    4.00    4.13    3.25    3.00    3.33    3.89         11
    3.13    4.25    4.13    2.78    3.22    2.89         11
    3.13    2.88    3.25    3.78    3.56    4.33         11
    4.38    4.75    4.00    2.33    1.44    4.44         11
    4.00    3.50    2.75    3.89    3.89    4.00         11
    3.38    4.00    3.50    3.89    4.78    4.78         11
    2.88    3.63    2.75    2.33    3.11    3.33         11
    4.38    3.63    2.63    3.22    4.11    4.44         11
    4.13    3.13    3.63    2.00    1.78    3.76         11
    3.63    3.38    3.38    3.11    3.56    3.78         11
    4.38    4.13    4.00    3.11    4.00    3.22         11
    4.00    4.38    3.75    3.33    3.89    4.00         11
    4.25    3.63    3.25    2.67    4.33    3.33         11
    3.88    3.63    3.38    4.44    4.22    4.33         11
    4.00    3.50    3.75    3.22    3.67    3.00         11
    4.63    3.63    3.71    3.78    3.44    3.56         11
    4.13    4.00    3.25    3.44    4.00    4.67         11
    4.00    4.00    4.00    2.00    2.00    3.11         11
    4.38    4.25    3.50    3.00    3.00    3.56         11
    4.25    4.00    4.00    4.38    4.75    3.00         11
    4.13    4.13    4.00    3.44    3.33    2.88         11
    3.63    3.63    3.63    3.33    3.33    4.00         11
    4.63    4.88    3.88    3.33    4.78    4.33         11
    4.50    4.38    2.75    4.78    4.67    4.78         11
    3.63    3.88    3.25    3.00    3.33    4.33         11
    3.75    3.63    3.88    2.00    2.67    3.22         11
    4.63    3.88    3.88    3.67    4.44    2.67         11
    5.00    4.13    2.63    2.89    3.33    2.78         11
    3.50    3.25    2.88    1.89    1.56    2.75         12
    3.75    3.88    3.25    2.67    2.67    3.67         12
    3.88    3.63    3.13    2.56    3.11    4.56         12
    4.75    4.38    3.38    3.33    4.11    4.67         12
    3.88    3.38    3.13    3.44    3.78    4.00         12
    4.88    4.25    3.88    3.78    4.67    3.56         12
    4.88    3.88    3.63    3.89    4.44    4.44         12
    4.38    3.38    3.00    2.22    3.78    3.67         12
    4.00    3.88    4.00    3.00    2.89    2.67         12
    4.63    4.25    4.38    3.89    3.56    3.89         12
    4.50    4.63    4.00    3.44    3.00    4.22         12
    5.00    4.00    4.63    4.00    4.11    3.67         12
    4.88    4.00    3.63    4.56    4.22    4.33         12
